freq (Hz),H(f) (dB),H(f) (dB)
3.500E6,-6.090,-1.940
3.520E6,-6.127,-1.982
3.540E6,-6.164,-2.024
3.560E6,-6.202,-2.066
3.580E6,-6.239,-2.108
3.600E6,-6.276,-2.151
3.620E6,-6.312,-2.193
3.640E6,-6.349,-2.236
3.660E6,-6.386,-2.278
3.680E6,-6.422,-2.321
3.700E6,-6.459,-2.364
3.720E6,-6.495,-2.407
3.740E6,-6.531,-2.450
3.760E6,-6.567,-2.493
3.780E6,-6.603,-2.536
3.800E6,-6.639,-2.579
3.820E6,-6.675,-2.622
3.840E6,-6.710,-2.666
3.860E6,-6.746,-2.709
3.880E6,-6.781,-2.752
3.900E6,-6.817,-2.796
3.920E6,-6.852,-2.839
3.940E6,-6.887,-2.882
3.960E6,-6.922,-2.926
3.980E6,-6.957,-2.969
4.000E6,-6.992,-3.013
4.020E6,-7.026,-3.056
4.040E6,-7.061,-3.100
4.060E6,-7.095,-3.143
4.080E6,-7.130,-3.187
4.100E6,-7.164,-3.230
4.120E6,-7.198,-3.273
4.140E6,-7.232,-3.317
4.160E6,-7.266,-3.360
4.180E6,-7.300,-3.403
4.200E6,-7.334,-3.447
4.220E6,-7.368,-3.490
4.240E6,-7.401,-3.533
4.260E6,-7.435,-3.576
4.280E6,-7.468,-3.619
4.300E6,-7.501,-3.662
4.320E6,-7.534,-3.705
4.340E6,-7.568,-3.748
4.360E6,-7.601,-3.791
4.380E6,-7.633,-3.834
4.400E6,-7.666,-3.877
4.420E6,-7.699,-3.919
4.440E6,-7.731,-3.962
4.460E6,-7.764,-4.004
4.480E6,-7.796,-4.047
4.500E6,-7.829,-4.089
4.520E6,-7.861,-4.132
4.540E6,-7.893,-4.174
4.560E6,-7.925,-4.216
4.580E6,-7.957,-4.258
4.600E6,-7.989,-4.300
4.620E6,-8.020,-4.342
4.640E6,-8.052,-4.384
4.660E6,-8.083,-4.426
4.680E6,-8.115,-4.468
4.700E6,-8.146,-4.509
4.720E6,-8.177,-4.551
4.740E6,-8.209,-4.592
4.760E6,-8.240,-4.633
4.780E6,-8.271,-4.675
4.800E6,-8.302,-4.716
4.820E6,-8.332,-4.757
4.840E6,-8.363,-4.798
4.860E6,-8.394,-4.839
4.880E6,-8.424,-4.879
4.900E6,-8.455,-4.920
4.920E6,-8.485,-4.961
4.940E6,-8.515,-5.001
4.960E6,-8.545,-5.041
4.980E6,-8.576,-5.082
5.000E6,-8.606,-5.122
5.020E6,-8.635,-5.162
5.040E6,-8.665,-5.202
5.060E6,-8.695,-5.242
5.080E6,-8.725,-5.281
5.100E6,-8.754,-5.321
5.120E6,-8.784,-5.360
5.140E6,-8.813,-5.400
5.160E6,-8.842,-5.439
5.180E6,-8.872,-5.478
5.200E6,-8.901,-5.517
5.220E6,-8.930,-5.556
5.240E6,-8.959,-5.595
5.260E6,-8.988,-5.634
5.280E6,-9.017,-5.673
5.300E6,-9.045,-5.711
5.320E6,-9.074,-5.750
5.340E6,-9.102,-5.788
5.360E6,-9.131,-5.826
5.380E6,-9.159,-5.864
5.400E6,-9.188,-5.902
5.420E6,-9.216,-5.940
5.440E6,-9.244,-5.978
5.460E6,-9.272,-6.016
5.480E6,-9.300,-6.053
5.500E6,-9.328,-6.091
5.520E6,-9.356,-6.128
5.540E6,-9.384,-6.165
5.560E6,-9.412,-6.203
5.580E6,-9.439,-6.240
5.600E6,-9.467,-6.277
5.620E6,-9.494,-6.313
5.640E6,-9.522,-6.350
5.660E6,-9.549,-6.387
5.680E6,-9.576,-6.423
5.700E6,-9.603,-6.460
5.720E6,-9.630,-6.496
5.740E6,-9.657,-6.532
5.760E6,-9.684,-6.568
5.780E6,-9.711,-6.604
5.800E6,-9.738,-6.640
5.820E6,-9.765,-6.676
5.840E6,-9.791,-6.711
5.860E6,-9.818,-6.747
5.880E6,-9.845,-6.782
5.900E6,-9.871,-6.818
5.920E6,-9.897,-6.853
5.940E6,-9.924,-6.888
